DoctorID,DoctorFirst,DoctorLast,Phone,Cell,ClinicID
1,Jonathan,Archibald,7805241642,7803171644,4
2,Alma,Vang,7805414414,7805415785,12
3,Burke,Munishi,7805426455,7805774165,5
4,Robert,Mulligan,7804510841,7805418833,15
5,Wendell,Douglas,7805455471,7805451789,6
6,Allen,Esch,7805426455,7805771201,5
7,Chris,Russell,7804558701,7804556521,8
8,Kim,Mukio,7806654571,7803179842,14
9,Carol,Braund,7804553877,7804553007,7
10,Brett,Peloquin,7804568132,7805774512,9
11,Dai,Yan,7805445788,7805445866,13
12,Evelyn,Yaeger,7804531544,7805772390,10
13,David,Reback,7804553877,7803174414,7
14,Terry,Juyal,7805241642,7803176589,4
15,Joseph,Finley,7803554674,7803550536,11
16,Robert,Gurtz,7804558701,7804558144,8
17,Kathleen,Bass,7805414414,7803176624,12
18,Mark,Saleh,7806654571,7805773038,14
19,Andrea,Galica,7805455471,7805452466,6
20,Ming,Lam,7804568132,7803173874,9
