EmpID,EmpFirst,EmpMI,EmpLast,SIN,DOB,StartDate,EndDate,Address,City,Prov,PostalCode,JobID,Memo,Phone,Cell,Salary,HourlyRate,Review Date
1,Anne,M,Lessard,461710883,12/9/1968 0:00:00,3/12/2006 0:00:00,,6803 90th Ave,Montreal,QC,T6B0P3,3,,7804699664,7804691676,0.00,11.55,4/20/2016 0:00:00
2,Phillip,T,Starkey,413632487,4/5/1972 0:00:00,2/28/2011 0:00:00,,11122 39th Ave,Montreal,QC,T6J0M3,4,,7804633578,7805771631,0.00,8.40,10/24/2016 0:00:00
3,Catherine,C,Adams-Cook,504019756,2/13/1970 0:00:00,2/24/2020 0:00:00,,2248 Tanner Wynd NW,Montreal,QC,T6R2S4,4,,7804445432,7804445821,0.00,9.00,11/1/2016 0:00:00
4,Juanita,M,Cortes,602485239,9/24/1980 0:00:00,6/12/2009 0:00:00,,12107 40th St,Montreal,QC,T6H0J4,4,Speaks fluent Spanish,7804322035,7805778832,0.00,12.00,7/18/2016 0:00:00
5,Joan,S,GQCel,366346168,9/12/1968 0:00:00,5/1/2010 0:00:00,,9321 71st Ave NW,Montreal,QC,T6E1Z2,1,,7804361128,7804791399,115000.00,0.00,
6,Karl,K,Fujikawa,409554546,4/2/1958 0:00:00,6/12/1994 0:00:00,,501 10145th 119 St NW,Montreal,QC,T5K1Z2,2,,7804441686,7804445422,50000.00,0.00,
7,Claudio,G,Montes,522389217,5/2/1972 0:00:00,2/7/2010 0:00:00,12/1/2016 0:00:00,6587 187th St,Montreal,QC,T5T2R7,3,Entered graduate program,7804875623,7804872644,0.00,9.80,
8,Krysta,L,Molloy,512456020,6/30/1972 0:00:00,8/12/2019 0:00:00,,9015 56th St,Montreal,QC,T6B1J1,3,On family leave,7804658433,7803174405,0.00,8.56,7/2/2016 0:00:00
9,Kim,W,Siemers,598334298,11/29/1971 0:00:00,5/11/2009 0:00:00,,903 Saskatchewan Dr,Montreal,QC,T6E6J5,5,,7804320987,7804327891,45500.00,0.00,
10,Jack,E,Knowles,632583120,5/28/1977 0:00:00,7/14/2019 0:00:00,,8732 80th Ave SW,Montreal,QC,T5K1Z2,4,Reprimanded for tardiness (4/16),7804623385,7804629038,0.00,7.00,2/20/2016 0:00:00
11,Tem,N,Pom,605239401,5/30/1976 0:00:00,6/1/2012 0:00:00,,802 4616th 106A St,Montreal,QC,T6H5J5,4,,7809891465,7809891274,0.00,6.80,6/1/2016 0:00:00
12,Desmond,L,Foxhall,412489423,7/3/1963 0:00:00,3/4/1996 0:00:00,,412 1120th Tory Rd NW,Montreal,QC,T5A0A3,2,,7804342518,7804345522,100000.00,0.00,
13,Ava,M,Foxhall,434875298,9/23/1965 0:00:00,5/15/2006 0:00:00,,412 1120th Tory Rd NW,Montreal,QC,T5A0A3,3,,7804342518,7804347832,0.00,12.08,5/15/2016 0:00:00
14,Glenn,J,Hollander,582631450,1/15/1970 0:00:00,4/12/2008 0:00:00,,171 Tudor Ln,Montreal,QC,T6J3T5,5,,7804370538,7803174380,65000.00,0.00,
16,Michelle,C,Devereaux,504587339,8/5/1972 0:00:00,11/20/2019 0:00:00,,4636 10th Ave,Montreal,QC,T6L4E3,3,,7804502377,7804501224,0.00,13.13,11/15/2016 0:00:00
17,Esteban,J,Lucas,567223559,9/23/1976 0:00:00,10/14/2011 0:00:00,,8018 95th Ave NW,Montreal,QC,T6C1Y1,4,Speaks fluent Spanish,7804507734,7804506577,0.00,9.00,11/12/2016 0:00:00
18,Eric,B,Campbell,512587668,10/16/1975 0:00:00,8/1/2011 0:00:00,,12142 36th St,Montreal,QC,T5W2B6,3,,7804741148,7804741678,0.00,11.03,8/1/2016 0:00:00
19,Brittany,A,Greer,718994389,9/14/1982 0:00:00,11/15/2011 0:00:00,,255 Southridge NW,Montreal,QC,T6H4M9,4,,7804358874,7804358774,0.00,7.00,11/15/2016 0:00:00
20,Janice,W,Millbrandt,398704239,12/27/1963 0:00:00,5/12/2004 0:00:00,,4704 38B Ave,Montreal,QC,T6L5B9,2,Part-time,7804628557,7804627332,30000.00,0.00,5/15/2016 0:00:00
21,Leigh,M,Watland-Hall,523558250,8/24/1973 0:00:00,7/5/2019 0:00:00,,12908 134th St,Montreal,QC,T5L1V6,4,,7804548114,7804544437,0.00,8.30,7/1/2016 0:00:00
22,Frank,J,Pimienta,664389447,3/17/1981 0:00:00,3/1/2011 0:00:00,,3531 105A St,Montreal,QC,T6J2M6,3,Reprimanded for missed shift (7/16),7804341987,7803171978,0.00,12.39,3/1/2016 0:00:00
23,Mai,W,Yan,598374129,7/5/1972 0:00:00,9/2/2019 0:00:00,,7641 112th Ave,Montreal,QC,T5B0H4,2,,7804790097,7804799805,42700.00,0.00,
24,Christine,A,Sullivan,659228459,11/5/1981 0:00:00,2/15/2020 0:00:00,,13616 24th St,Montreal,QC,T5A3V2,4,,7804761276,7804766687,0.00,8.60,2/15/2016 0:00:00
26,Cheri,L,Larousse,623875334,9/2/1982 0:00:00,5/30/2019 0:00:00,,110 3rd Ave W,Montreal,QC,T5A0A3,4,,7808935877,7808938832,0.00,9.00,5/30/2016 0:00:00
27,Stephen,M,Strupp,664329554,3/25/1980 0:00:00,11/2/2009 0:00:00,,900 9930th Bellamy Hill NW,Montreal,QC,T5K2B5,3,,7804286337,7804285984,0.00,13.13,11/1/2016 0:00:00
28,Dewana,L,Morgan,700487349,10/23/1985 0:00:00,12/2/2019 0:00:00,,2532 Bell Ct SW,Montreal,QC,T5A0A3,4,,7804382456,7804388943,0.00,9.50,12/1/2016 0:00:00
29,Marie,C,Cresson,534995238,12/24/1973 0:00:00,9/15/2019 0:00:00,,202 6205th 101 Ave NW,Montreal,QC,T6A0H3,5,,7804398786,7808932238,63500.00,0.00,
30,Nicole,D,Guidarelli,655377487,4/29/1982 0:00:00,6/1/2020 0:00:00,,5117 14A Ave,Montreal,QC,T6L2A4,4,,7804506337,7804504387,0.00,8.15,6/1/2016 0:00:00
